6,5.7093,4.964,0.00027464,0.00041465
7,5.2529,5.5366,0.00011889,0.00035386
8,3.6999,4.4664,0.00011533,0.00021172
9,2.3145,3.375,0.00011799,0.00012106
10,0.4818,4.396,0.00010721,0.00018453
11,3.1507,2.3829,0.00012614,0.00013848
12,4.0633,0.94429,6.143e-05,0.00013376
13,2.6803,0.26835,9.939e-05,9.516e-05
14,0.94829,0.75601,0.00016941,0.0001512
15,3.7629,-2.0309,0.00011487,0.00017474
16,1.6984,-2.0897,0.00012742,0.00014707
17,0.035962,-2.844,8.695e-05,0.0001075
18,0.94291,-5.4345,0.00020354,0.00053328
19,2.5902,-5.5227,4.964e-05,0.00022974
20,2.0994,-3.9153,8.644e-05,0.00012267
